S 001B4 0 1 1568E 00009A05 00008BE0 0000F19C 000006B2 00002EA6 0000D1DE 0000B932 0000E298 003E4006 003E40CA 003E40E5 003E42C8 003E4125 003E41F7 003E5200 0FCF2322
S 001BA 0 1 156AC 0000F4E4 00006407 00005A43 00006A1A 00008446 000030EF 00004CB9 0000602F 003E41DE 003E41A4 003E403F 003E4170 003E40BD 003E40E0 003E5200 546607CA
S 001C0 0 1 160BA 0000EC19 000090ED 0000C3AC 00003D87 00002B55 000054BB 00008234 000014D9 003E411F 003E4079 003E40CA 003E4116 003E4219 003E4252 003E5200 E78ACAF7
S 001CA 0 1 18E66 0000FC99 00009A8E 0000C5DE 0000B763 000078CD 00006CC2 0000F07E 00000B25 003E41FB 003E432B 003E408C 003E4257 003E42F6 003E4061 003E5200 7499EE71
S 001D0 0 1 190F6 0000375E 00001274 00006981 00002641 000061B3 0000571B 00002457 00000309 003E41FB 003E41D5 003E41D7 003E41EE 003E40C0 003E40EA 003E5200 83B91C09
S 001D6 0 1 19032 0000ACC4 00000BDE 00003BD9 00004689 0000A4C2 00004126 0000DB7F 000061ED 003E4277 003E4275 003E418A 003E4012 003E41D3 003E4342 003E5200 A417C9F5
S 001DC 0 1 19010 0000F6FF 0000BE37 00003D3E 0000DB42 00001D71 0000099A 00006A6D 000001CD 003E4179 003E4209 003E40D4 003E430B 003E42B5 003E40B9 003E5200 8A9C0822
S 001E2 0 1 18CCE 00000000 000087BE 0000AA57 000043C8 0000C5CA 000044B1 000053D8 0000A0B8 003E4306 003E4131 003E4154 003E411F 003E400E 003E433F 003E5200 38E89DEC
S 001E8 0 1 193C6 00002FE1 0000A48C 00007AB9 000076C3 00003417 00004164 00008D3E 0000E27A 0020416D 003E4187 003E4041 003E42F3 003E406B 003E4376 003E5200 F8476147
S 001EE 0 1 1890C 00001DDA 0000518A 00005156 00000C6D 0000E22B 00006307 0000BF32 0000B9AD 003E4213 003E4137 003E4087 003E421E 003E404F 003E4269 003E5200 6E37865B
S 001F4 0 1 16BC8 0000E3AE 000013CE 00005DB7 0000660E 000068EE 00008ADC 00009EB9 00009E15 003E4170 003E41A7 003E417C 003E4055 003E4204 003E41E4 003E5200 3156360C
S 001FA 0 1 13F40 000084DD 0000BFAF 0000E480 00003610 0000F8BA 00009AEB 00007D1A 00002A71 003E430F 003E4071 003E40CE 003E414A 003E430F 003E4095 003E5200 532D0E15
S 00200 0 1 13F60 00006956 0000B4A6 00002237 00008896 0000E612 00004211 00003D8F 00008CBA 003E404B 003E4078 003E4090 003E430C 003E41A0 003E4306 003E5200 FE764F03
S 00206 0 1 13F98 000039EE 00005987 0000D699 00002400 0000AB83 00004B0D 0000160A 00003192 003E41A7 003E42BD 003E40DE 003E40E9 003E429F 003E42C9 003E5200 8A72558C
S 0020C 0 1 1418A 00008224 00007927 0000E772 0000A43C 00004CFC 00001B41 00006A27 00002DC0 003E4152 003E4085 003E4052 003E4364 003E437D 003E4138 003E5200 737EA5E8
S 00212 0 1 14044 0000CEC9 0000D02F 00000455 0000467F 0000B93D 00000052 0000DF0C 0000F9B2 003E41E7 003E4136 003E41A5 003E41D4 003E411D 003E4156 003E5200 F8DD5DBB
S 00218 0 1 14104 00006B05 0000468E 00002727 00000311 00006E6C 00002F06 0000A331 00007A5D 003E4338 003E427A 003E416D 003E405B 003E4103 003E4328 003E5200 B9C6A3A0
